StrategyName,InitialAbundance,SurvivalRate,SurvivedMajority
Always Cooperate,0.0100,0.0000,False
Always Cooperate,0.5000,0.8000,True
Always Defect,0.0100,0.0000,False
Always Defect,0.5000,0.0000,False
Tit for Tat,0.0100,0.2000,False
Tit for Tat,0.5000,1.0000,True
Tit for Two Tats,0.0100,0.3000,False
Tit for Two Tats,0.5000,1.0000,True
Suspicious Tit for Tat,0.0100,0.0000,False
Suspicious Tit for Tat,0.5000,0.2000,False
Generous Tit for Tat,0.0100,0.3000,False
Generous Tit for Tat,0.5000,0.9000,True
Pavlov,0.0100,0.0000,False
Pavlov,0.5000,0.9000,True
Grudger,0.0100,0.5000,False
Grudger,0.5000,0.9000,True
Random,0.0100,0.0000,False
Random,0.5000,0.0000,False
Gradual Tit for Tat,0.0100,0.6000,True
Gradual Tit for Tat,0.5000,1.0000,True
Nice by Nature,0.0100,0.3000,False
Nice by Nature,0.5000,1.0000,True
Adaptive,0.0100,0.0000,False
Adaptive,0.5000,0.6000,True
Contrite Tit for Tat,0.0100,0.1000,False
Contrite Tit for Tat,0.5000,1.0000,True
Probing Tit for Tat,0.0100,0.0000,False
Probing Tit for Tat,0.5000,0.3000,False
